exp3_re3 - avg time (ms),instance size
0.09855860844254494,20
0.09782379493117332,40
0.09831925854086876,60
0.09850505739450455,80
0.09788572788238525,100
0.0982917845249176,120
0.09750993922352791,140
0.10263686999678612,160
0.09886408224701881,180
0.09753182530403137,200
